query,query_camera,rank,score,match,match_camera
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound,5,0.888429,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Eastbound,1,0.894607,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Eastbound,2,0.891799,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Eastbound,3,0.889376,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Eastbound,4,0.879529,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Eastbound,5,0.865362,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound,1,0.910294,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound,2,0.908723,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound,3,0.906342,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound,4,0.899306,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound,5,0.886987,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound,1,0.931581,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound
